Country,Fr_FCS_Normalised,Fr_REIGN_Normalised,Fr_Displaced_UNHCR_Normalised,Fr_BRD_Normalised,Fr_FCV_status_raw,Fr_pol_trigger_raw,Fr_z_idps_raw,Fr_fatal_z_raw
MOZ,10,0,10,8.438058850968126,Medium-Intensity conflict,Not Fragile,2.0302800767022235,0.6876117701936251
MRT,0,0,0,0,NA,Not Fragile,0,-0.9444730356567677
MUS,0,0,0,NA,NA,Not Fragile,0,NA
MWI,0,0,0,0,NA,Not Fragile,0,-0.21349352428580226
MYS,0,0,0,10,NA,Not Fragile,0,1.4406945665762614
NAM,0,0,0,0,NA,Not Fragile,0,-0.7158395706253593
NER,10,0,10,7.1776957247978,Medium-Intensity conflict,Not Fragile,1.0633786943397732,0.43553914495956003
NGA,10,0,6.099471707998688,10,Medium-Intensity conflict,Not Fragile,0.6099471707998688,1.2054246313057744
NIC,0,0,0,0,NA,Not Fragile,0,-0.6293242252819801
NLD,0,0,0,0,NA,Not Fragile,0,-0.4651302547095317
NOR,0,0,0,0,NA,Not Fragile,0,-0.4651302547095317
NPL,0,0,0,0,NA,Not Fragile,0,-0.93281134738404
NRU,0,0,NA,NA,NA,Not Fragile,NA,NA
NZL,0,0,0,NA,NA,Not Fragile,0,NA
OMN,0,0,0,NA,NA,Not Fragile,0,NA
PAK,0,0,0,10,NA,Not Fragile,-0.8077564707857695,1.0948609868389594
PAN,0,0,0,0,NA,Not Fragile,0,0.5047421481674886
PER,0,0,0,10,NA,Not Fragile,0,1.2513537260092578
PHL,0,0,3.783154163482161,0,NA,Not Fragile,0.378315416348216,-1.1551400620511492
PLW,0,0,NA,NA,NA,Not Fragile,NA,NA
PNG,10,0,0,NA,High-Institutional and Social Fragility,Not Fragile,0,NA
POL,0,0,0,0,NA,Not Fragile,0,NA
PRK,0,0,0,10,NA,Not Fragile,0,1.1469653486894147
PRT,0,0,0,0,NA,Not Fragile,0,-0.75
PRY,0,0,0,0,NA,Not Fragile,0,0.48526678769007764
QAT,0,0,0,0,NA,Not Fragile,0,NA
ROU,0,0,0,NA,NA,Not Fragile,0,NA
RUS,0,0,0,0,NA,Not Fragile,0,-2.705525201701901
RWA,0,0,0,NA,NA,Not Fragile,0,NA
SAU,0,0,0,0,NA,Not Fragile,0,-1.6265359240664723
SDN,10,0,0,10,High-Institutional and Social Fragility,Not Fragile,-0.6802960174817637,1.2783457353179437
SEN,0,0,0,0,NA,Not Fragile,0,0.978705007093135
SGP,0,0,0,NA,NA,Not Fragile,0,NA
SLB,10,0,0,NA,High-Institutional and Social Fragility,Not Fragile,0,NA
SLE,0,0,0,0,NA,Not Fragile,0,-0.47745951844169654
SLV,0,0,9.128624175582221,0.8647145229975166,NA,Not Fragile,0.9128624175582222,-0.8270570954004965
SOM,0,0,10,5.993322422052144,High-Intensity Conflict,Not Fragile,1.1058660653314456,0.19866448441042892
SRB,0,0,0,0,NA,Not Fragile,-1.2133253527253185,-0.5979780926488473
SSD,10,10,0,9.325040486237786,Medium-Intensity conflict,Fragile,-1.1191873352362511,0.8650080972475571
STP,0,0,0,NA,NA,Not Fragile,0,NA
SUR,0,0,0,0,NA,Not Fragile,0,-0.615650811264372
SVK,0,0,0,0,NA,Not Fragile,0,NA
SVN,0,0,0,0,NA,Not Fragile,0,NA
SWE,0,0,0,0,NA,Not Fragile,0,-0.4651302547095317
SWZ,0,0,0,10,NA,Not Fragile,0,2.9365976907303706
SYC,0,0,0,NA,NA,Not Fragile,0,NA
SYR,0,0,0,0,High-Intensity Conflict,Not Fragile,-0.6127617146657469,-1.6955935542158387
TCD,10,0,10,10,Medium-Intensity conflict,Not Fragile,1.0277231751881997,1.97759906161256
TGO,0,0,0,0,NA,Not Fragile,0,-0.45192213878648924
THA,0,0,0,0,NA,Not Fragile,0,-1.2266093935287627
TJK,0,0,0,8.93993008211221,NA,Not Fragile,0,0.787986016422442
TKM,0,0,0,NA,NA,Not Fragile,0,NA
TLS,10,0,0,NA,High-Institutional and Social Fragility,Not Fragile,0,NA
TON,0,0,0,NA,NA,Not Fragile,0,NA
TTO,0,0,0,1.7948402708295035,NA,Not Fragile,0,-0.6410319458340992
TUN,0,0,0,10,NA,Not Fragile,0,1.016166435883626
TUR,0,0,0,2.038071397196033,NA,Not Fragile,0,-0.5923857205607935
TUV,10,0,NA,NA,High-Institutional and Social Fragility,Not Fragile,NA,NA
