Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
PAN,5.26,5.118547217779956,1.548801776989139,0,9.26388,4.106,0.8015384615384598,4.25,0,0,43.7,0.535500393964433,23.23202665483709,-4.042128620180588,231.597,2.053,74.79,3.7,0,0
PER,4.159999999999999,8.056488736356046,0,0,1.483880000000001,4.254,1.7630769230769214,5.75,0,0,49.2,0.732194943477809,-49.34218351608746,-42.185676197896164,37.097,2.127,68.54,4.3,0,0
PHL,4.4799999999999995,4.298798732901032,0,0,2.03332,1.6739999999999995,2.3953846153846143,6.75,0,0,47.6,0.480618410123693,-18.329616611916833,-4.091756008586594,50.833,0.837,64.43,4.7,0,0
PLW,9.620000000000001,NA,NA,NA,NA,NA,NA,4.75,0,0,21.9,NA,NA,NA,NA,NA,NA,3.9,0,0
PNG,8.44,3.1756168664199294,10,1.1533561019006484,0.11751999999999896,0.41600000000000037,5.144615384615384,9.25,0,0,27.8,0.405421626984127,304.02684563758385,17.300341528509726,2.938,0.208,46.56,5.7,0,0
POL,2.92,9.013790381030788,0,0,0.10148000000000046,0.32399999999999984,3.012307692307692,2.75,0,0,55.4,0.796286081629181,-57.03525641025641,-4.1045819287491705,2.537,0.162,60.42,3.1,0,0
PRK,0,NA,NA,NA,NA,NA,NA,6.75,0,0,70.2,NA,NA,NA,NA,NA,NA,4.7,0,0
PRT,1.9400000000000013,3.47557181428948,5.773854560739807,3.1758298832865837,10,1.4019999999999992,1.7630769230769214,2,0,0,60.3,0.425503545896558,86.6078184110971,47.63744824929875,323.116,0.701,68.54,2.8,0,0
PRY,6.859999999999999,7.737611829882683,0,0,4.87904,10,4.038461538461538,4,0,0,35.7,0.710846203527602,-53.00263241466525,-33.32573208330742,121.976,7.611,53.75,3.6,0,0
QAT,5.76,7.367590666660302,0,0.3130083104775867,1.7017599999999984,0.09999999999999964,3.2046153846153844,3.25,0,0,41.2,0.686073366644955,-80.41958041958043,4.695124657163797,42.544,0.05,59.17,3.3,0,0
