Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
AFG,7.540000000000001,6.053499365034384,0,0,1.139240000000001,3.4860000000000007,7.067692307692308,10,0,0,32.3,0.598095238095266,-12.63762770795093,-31.526339440632068,28.481,1.743,34.06,6.8,0,0
AGO,8.96,4.1408108640946,0.20154204769589334,0.9034665163398365,0.16047999999999973,0.25200000000000067,5.36,9,0,0,25.2,0.470041156462592,3.0231307154383984,13.551997745097538,4.012,0.126,45.16,5.6,0,0
ALB,3.420000000000001,10,0,10,0.26211999999999946,0,4.952307692307691,5.5,0,0,52.9,0.864660743569811,-100,228.5170765909552,6.553,0,47.81,4.2,0,0
ARE,4.66,10,0,0,6.20688,0.8079999999999998,1.930769230769231,1.25,10,0,46.7,0.874189297959973,-17.064544650751547,-17.412177054803216,155.172,0.404,67.45,2.5,10,0
ARG,2.2799999999999994,4.956516323592746,0,0,10,10,1.6338461538461537,3.5,0,0,58.6,0.524652460628153,-17.52482454056214,-23.371064050275663,320.065,8.664,69.38,3.4,0,0
ARM,3.959999999999999,NA,3.847945406276976,3.361571879608494,2.1578799999999996,2.218,NA,4,0,0,50.2,NA,57.719181094154635,50.42357819412741,53.947,1.109,NA,3.6,0,0
ATG,8.2,NA,6.666666666674814e-4,6.666666666674814e-4,0.5251599999999996,0,NA,4,0,0,29,NA,0.01,0.01,13.129,0,NA,3.6,0,0
AUS,0,0,6.666666666674814e-4,6.666666666674814e-4,0.1875599999999995,0.034000000000000696,2.644615384615384,0.25,0,0,75.5,0.159908944824599,0.01,0.01,4.689,0.017,62.81,2.1,0,0
AUT,2.3,7.217643706923472,0,10,1.4542000000000002,0.15799999999999947,1.81076923076923,2.5,0,0,58.5,0.676034450107695,-67.36596736596738,206.13120945499168,36.355,0.079,68.23,3,0,0
AZE,7.16,4.127234541997124,1.0219303128130903,7.92931435394671,0.7783200000000008,0.16999999999999993,3.8938461538461544,5,0,0,34.2,0.469132224633239,15.328954692196373,118.93971530920065,19.458,0.085,54.69,4,0,0
BDI,9.44,4.299045343275116,6.666666666674814e-4,6.666666666674814e-4,0.11340000000000039,0,9.663076923076924,10,0,0,22.8,0.480634920634923,0.01,0.01,2.835,0,17.19,6.5,0,0
BEL,1.8000000000000007,6.770332000252788,0,5.912103354856957,5.09964,0.1479999999999997,2.212307692307691,2,0,0,61,0.646087028050672,-61.039552309589304,88.68155032285436,127.491,0.074,65.62,2.8,0,0
BEN,8.24,2.330799837266798,7.779862414008756,0,0.007999999999999119,0.04800000000000004,5.207692307692308,9.5,0,0,28.8,0.348861309523812,116.69793621013133,-67.88927788502438,0.2,0.024,46.15,5.8,0,0
BFA,7.9799999999999995,3.0041812214930994,6.666666666674814e-4,6.666666666674814e-4,0.0038400000000002876,0.013999999999999346,6.858461538461539,10,0,0,30.1,0.393944047619048,0.01,0.01,0.096,0.007,35.42,6.3,0,0
BGD,7,7.0074132043683814,4.1925777331996,3.1481084726933686,2.83596,2.572,2.4676923076923076,8,0,0,35,0.661959563411487,62.88866599799399,47.221627090400524,70.899,1.286,63.96,5.2,0,0
BGR,4.88,7.3944975376783475,0,0.2582402056379891,0.49671999999999983,1.234,3.413846153846154,4.25,0,0,45.6,0.687874775842601,-48.927426191441526,3.8736030845698592,12.418,0.617,57.81,3.7,0,0
BHR,6.120000000000001,10,0,0,2.1056,0.3360000000000003,2.0830769230769244,4.75,0,0,39.4,0.999374637551238,-62.15787891115553,-50.75785443745061,52.64,0.168,66.46,3.9,0,0
BHS,7.88,2.0410675320250613,10,1.5550104194884735,5.391,10,2.4923076923076923,4.75,0,0,30.6,0.329463794325274,196.14855258779758,23.3251562923271,134.775,7.265,63.8,3.9,0,0
BIH,5.44,8.03729852805764,0,8.688154849517016,0.21943999999999875,0.5220000000000002,5.8015384615384615,5.249999999999999,0,0,42.8,0.730910163180973,-86.53294225249945,130.32232274275523,5.486,0.261,42.29,4.1,0,0
BLR,6.94,5.1846158445270065,0,1.1140046618389636,3.893840000000001,2.056,5.319999999999999,4.5,0,0,35.3,0.539923674241733,-1.4039075940034382,16.71006992758443,97.346,1.028,45.42,3.8,0,0
BLZ,7.64,1.8003957291713544,7.692307692307692,0.7315817567166825,3.2910000000000004,0.718,1.2338461538461534,4.5,0,0,31.8,0.313350869155196,115.38461538461537,10.97372635075025,82.275,0.359,71.98,3.8,0,0
BOL,6.840000000000001,7.090645396094583,0,0,3.0889200000000008,4.602,5.673846153846155,7.250000000000001,0,0,35.8,0.66753194065354,-40.463730945043125,-36.912255940736536,77.223,2.301,43.12,4.9,0,0
