"","Index","Record_ID","Prior Record_ID","Countryname","Country","Outlook","Date","Prior Date","Count","Prior Count","Flag Change"
"65",1100,109780,70260,"Bolivia","BOL","Underlying",2021-07-22,2021-07-21,1,1,0
"66",1114,109794,70274,"Bolivia","BOL","Emerging",2021-07-22,2021-07-21,2,2,0
"67",1145,109825,70305,"Brazil","BRA","Overall",2021-07-22,2021-07-21,2,2,0
"68",1152,109832,70312,"Brazil","BRA","Underlying",2021-07-22,2021-07-21,0,0,0
"69",1166,109846,70326,"Brazil","BRA","Emerging",2021-07-22,2021-07-21,2.5,2.5,0
"70",1197,109877,70357,"Barbados","BRB","Overall",2021-07-22,2021-07-21,2,2,0
"71",1204,109884,70364,"Barbados","BRB","Underlying",2021-07-22,2021-07-21,0.5,0.5,0
"72",1218,109898,70378,"Barbados","BRB","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
"73",1249,109929,70409,"Brunei Darussalam","BRN","Overall",2021-07-22,2021-07-21,0.5,0.5,0
"74",1256,109936,70416,"Brunei Darussalam","BRN","Underlying",2021-07-22,2021-07-21,0.5,0.5,0
"75",1270,109950,70430,"Brunei Darussalam","BRN","Emerging",2021-07-22,2021-07-21,1,1,0
"76",1301,109981,70461,"Bhutan","BTN","Overall",2021-07-22,2021-07-21,2,2,0
"77",1308,109988,70468,"Bhutan","BTN","Underlying",2021-07-22,2021-07-21,0.5,0.5,0
"78",1322,110002,70482,"Bhutan","BTN","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
"79",1353,110033,70513,"Botswana","BWA","Overall",2021-07-22,2021-07-21,2,2,0
"80",1360,110040,70520,"Botswana","BWA","Underlying",2021-07-22,2021-07-21,0.5,0.5,0
"81",1374,110054,70534,"Botswana","BWA","Emerging",2021-07-22,2021-07-21,2,2,0
"82",1405,110085,70565,"Central African Republic","CAF","Overall",2021-07-22,2021-07-21,5,5,0
"83",1412,110092,70572,"Central African Republic","CAF","Underlying",2021-07-22,2021-07-21,4,4,0
"84",1426,110106,70586,"Central African Republic","CAF","Emerging",2021-07-22,2021-07-21,3.5,3.5,0
"85",1457,110137,70617,"Canada","CAN","Overall",2021-07-22,2021-07-21,0,0,0
"86",1464,110144,70624,"Canada","CAN","Underlying",2021-07-22,2021-07-21,0,0,0
"87",1478,110158,70638,"Canada","CAN","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
"88",1509,110189,70669,"Switzerland","CHE","Overall",2021-07-22,2021-07-21,0,0,0
"89",1516,110196,70676,"Switzerland","CHE","Underlying",2021-07-22,2021-07-21,0,0,0
"90",1530,110210,70690,"Switzerland","CHE","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
"91",1561,110241,70721,"Chile","CHL","Overall",2021-07-22,2021-07-21,1,1,0
"92",1568,110248,70728,"Chile","CHL","Underlying",2021-07-22,2021-07-21,0.5,0.5,0
"93",1582,110262,70742,"Chile","CHL","Emerging",2021-07-22,2021-07-21,2,2,0
"94",1613,110293,70773,"China","CHN","Overall",2021-07-22,2021-07-21,1,1,0
"95",1620,110300,70780,"China","CHN","Underlying",2021-07-22,2021-07-21,1,1,0
"96",1634,110314,70794,"China","CHN","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
"97",1665,110345,70825,"Côte d'Ivoire","CIV","Overall",2021-07-22,2021-07-21,3,3,0
"98",1672,110352,70832,"Côte d'Ivoire","CIV","Underlying",2021-07-22,2021-07-21,1.5,1.5,0
"99",1686,110366,70846,"Côte d'Ivoire","CIV","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
"100",1717,110397,70877,"Cameroon","CMR","Overall",2021-07-22,2021-07-21,4.5,4.5,0
"101",1724,110404,70884,"Cameroon","CMR","Underlying",2021-07-22,2021-07-21,2.5,2.5,0
"102",1738,110418,70898,"Cameroon","CMR","Emerging",2021-07-22,2021-07-21,3,3,0
"103",1769,110449,70929,"Congo DR","COD","Overall",2021-07-22,2021-07-21,5,5,0
"104",1776,110456,70936,"Congo DR","COD","Underlying",2021-07-22,2021-07-21,4.5,4.5,0
"105",1790,110470,70950,"Congo DR","COD","Emerging",2021-07-22,2021-07-21,4.5,4.5,0
"106",1821,110501,70981,"Congo","COG","Overall",2021-07-22,2021-07-21,4,4,0
"107",1828,110508,70988,"Congo","COG","Underlying",2021-07-22,2021-07-21,3.5,3.5,0
"108",1842,110522,71002,"Congo","COG","Emerging",2021-07-22,2021-07-21,3.5,3.5,0
"109",1873,110553,71033,"Colombia","COL","Overall",2021-07-22,2021-07-21,3.5,3.5,0
"110",1880,110560,71040,"Colombia","COL","Underlying",2021-07-22,2021-07-21,0.5,0.5,0
"111",1894,110574,71054,"Colombia","COL","Emerging",2021-07-22,2021-07-21,3.5,3.5,0
"112",1925,110605,71085,"Comoros","COM","Overall",2021-07-22,2021-07-21,0.5,0.5,0
"113",1932,110612,71092,"Comoros","COM","Underlying",2021-07-22,2021-07-21,3,3,0
"114",1946,110626,71106,"Comoros","COM","Emerging",2021-07-22,2021-07-21,0,0,0
"115",1977,110657,71137,"Cabo Verde","CPV","Overall",2021-07-22,2021-07-21,2,1.5,0.5
"116",1984,110664,71144,"Cabo Verde","CPV","Underlying",2021-07-22,2021-07-21,0.5,0.5,0
"117",1998,110678,71158,"Cabo Verde","CPV","Emerging",2021-07-22,2021-07-21,1,0.5,0.5
"118",2029,110709,71189,"Costa Rica","CRI","Overall",2021-07-22,2021-07-21,2.5,2.5,0
"119",2036,110716,71196,"Costa Rica","CRI","Underlying",2021-07-22,2021-07-21,0.5,0.5,0
"120",2050,110730,71210,"Costa Rica","CRI","Emerging",2021-07-22,2021-07-21,2.5,2.5,0
"121",2081,110761,71241,"Cuba","CUB","Overall",2021-07-22,2021-07-21,2,2,0
"122",2088,110768,71248,"Cuba","CUB","Underlying",2021-07-22,2021-07-21,1.5,1.5,0
"123",2102,110782,71262,"Cuba","CUB","Emerging",2021-07-22,2021-07-21,2,2,0
"124",2133,110813,71293,"Cyprus","CYP","Overall",2021-07-22,2021-07-21,1,1,0
"125",2140,110820,71300,"Cyprus","CYP","Underlying",2021-07-22,2021-07-21,0,0,0
"126",2154,110834,71314,"Cyprus","CYP","Emerging",2021-07-22,2021-07-21,1,1,0
"127",2185,110865,71345,"Czech Republic","CZE","Overall",2021-07-22,2021-07-21,0.5,0.5,0
"128",2192,110872,71352,"Czech Republic","CZE","Underlying",2021-07-22,2021-07-21,0,0,0
"129",2206,110886,71366,"Czech Republic","CZE","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
"130",2237,110917,71397,"Germany","DEU","Overall",2021-07-22,2021-07-21,0,0,0
"131",2244,110924,71404,"Germany","DEU","Underlying",2021-07-22,2021-07-21,0,0,0
"132",2258,110938,71418,"Germany","DEU","Emerging",2021-07-22,2021-07-21,0,0,0
"133",2289,110969,71449,"Djibouti","DJI","Overall",2021-07-22,2021-07-21,2,2,0
"134",2296,110976,71456,"Djibouti","DJI","Underlying",2021-07-22,2021-07-21,2,2,0
"135",2310,110990,71470,"Djibouti","DJI","Emerging",2021-07-22,2021-07-21,0,0,0
"136",2341,111021,71501,"Dominica","DMA","Overall",2021-07-22,2021-07-21,1,1,0
"137",2348,111028,71508,"Dominica","DMA","Underlying",2021-07-22,2021-07-21,0.5,0.5,0
"138",2362,111042,71522,"Dominica","DMA","Emerging",2021-07-22,2021-07-21,0,0,0
"139",2393,111073,71553,"Denmark","DNK","Overall",2021-07-22,2021-07-21,0,0,0
"140",2400,111080,71560,"Denmark","DNK","Underlying",2021-07-22,2021-07-21,0,0,0
"141",2414,111094,71574,"Denmark","DNK","Emerging",2021-07-22,2021-07-21,1.5,1.5,0
