"","Countryname","Country","EMERGING_RISK_HEALTH_AV","EMERGING_RISK_MACRO_FISCAL_AV","EMERGING_RISK_FRAGILITY_INSTITUTIONS_AV","OVERALL_HEALTH_AV","OVERALL_FOOD_SECURITY_AV","OVERALL_MACRO_FISCAL_AV","OVERALL_SOCIOECONOMIC_VULNERABILITY_AV","OVERALL_NATURAL_HAZARDS_AV","OVERALL_FRAGILITY_INSTITUTIONS_AV","OVERALL_FLAGS_AV","OVERALL_FLAGS_AV_MED","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL_SQ","EMERGING_RISK_HEALTH_SQ_ALT","OVERALL_HEALTH_FILTER_10","OVERALL_FOOD_SECURITY_FILTER_10","OVERALL_MACRO_FISCAL_FILTER_10","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_10","OVERALL_NATURAL_HAZARDS_FILTER_10","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_10","OVERALL_FLAGS_FILTER_10","OVERALL_FLAGS_FILTER_10_MED","OVERALL_HEALTH_FILTER_7","OVERALL_FOOD_SECURITY_FILTER_7","OVERALL_MACRO_FISCAL_FILTER_7","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_7","OVERALL_NATURAL_HAZARDS_FILTER_7","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_7","OVERALL_FLAGS_FILTER_7","OVERALL_FLAGS_FILTER_7_MED","OVERALL_HEALTH_FILTER_7_5","OVERALL_FOOD_SECURITY_FILTER_7_5","OVERALL_MACRO_FISCAL_FILTER_7_5","OVERALL_SOCIOECONOMIC_VULNERABILITY_FILTER_7_5","OVERALL_NATURAL_HAZARDS_FILTER_7_5","OVERALL_FRAGILITY_INSTITUTIONS_FILTER_7_5","OVERALL_FLAGS_FILTER_7_5","OVERALL_FLAGS_FILTER_7_5_MED","OVERALL_HEALTH_GEO","OVERALL_FOOD_SECURITY_GEO","OVERALL_MACRO_FISCAL_GEO","OVERALL_SOCIOECONOMIC_VULNERABILITY_GEO","OVERALL_NATURAL_HAZARDS_GEO","OVERALL_FRAGILITY_INSTITUTIONS_GEO","OVERALL_FLAGS_GEO","OVERALL_FLAGS_GEO_MED","UNDERLYING_RISK_HEALTH","UNDERLYING_RISK_FOOD_SECURITY","UNDERLYING_RISK_MACRO_FISCAL","UNDERLYING_RISK_SOCIOECONOMIC_VULNERABILITY","UNDERLYING_RISK_NATURAL_HAZARDS","UNDERLYING_RISK_FRAGILITY_INSTITUTIONS","UNDERLYING_FLAGS","UNDERLYING_FLAGS_MED","EMERGING_RISK_HEALTH","EMERGING_RISK_FOOD_SECURITY","EMERGING_RISK_SOCIOECONOMIC_VULNERABILITY","EMERGING_RISK_MACRO_FISCAL","EMERGING_RISK_NATURAL_HAZARDS","EMERGING_RISK_FRAGILITY_INSTITUTIONS","EMERGING_FLAGS","EMERGING_FLAGS_MED","EMERGING_RISK_FRAGILITY_INSTITUTIONS_MULTIDIMENSIONAL","H_coefvar","M_coefvar","Fr_coefvar","NH_coefvar","F_coefvar","S_coefvar","RELIABILITY_SCORE_UNDERLYING_RISK","RELIABILITY_SCORE_EMERGING_RISK"
"145","Japan","JPN",1.51375944880034,1.36883802816901,NA,4.6033676844256,1.58851674641149,0.737027923757162,1.78571428571429,5,0,0,0.5,1.08165314034204,7.03704167167148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82362918605563,1.47547737794348,0.379507776416876,1.30930734141595,0,0,0,0,2.04,2.17703349282297,0.105217819345313,0.571428571428571,10,0,1,1,7.1667353688512,1,3,1.36883802816901,0,0,0,0.5,1.1699735160118,1.33399753638044,NA,NA,NA,NA,NA,0,0.2
"146","Jordan","JOR",1.88980773627913,3.78961267605633,NA,7.875,NA,3.63951468161665,7.57142857142857,2.58333333333333,0,2,2,1.39523931760057,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,1,7.58287544405155,NA,3.63641825286481,7.17137165600636,0,0,2,2,5.75,2.53588516746411,3.48941668717697,5.14285714285714,5.16666666666667,0,0,0,10,NA,10,3.78961267605633,0,0,2,2,1.94669275337849,1.33725635040783,NA,NA,NA,NA,NA,0,0.4
"147","Latvia","LVA",1.64658172258714,0,NA,6.75,0.966507177033493,1.7816268766921,3.88904761904762,0.916666666666665,0,0,0.5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91607978309962,0.965926681517281,0,3.12303271409912,0,0,0,0.5,3.5,0.933014354066986,3.5632537533842,1.57142857142857,1.83333333333333,0,0,0,10,1,6.20666666666667,0,0,0,1,1,1,1.99844024092697,NA,NA,NA,NA,NA,0,0.3
"148","Liberia","LBR",1.29734443896875,8.19102112676056,NA,6.85923076923077,9.86842105263158,8.84907935491363,9.62100320125534,2.5,0,3,3.5,1.69174348054708,4.6455755940105,0,0,0,0,0,0,0,0,0,10,10,10,0,0,3,3,0,10,10,10,0,0,3,3,6.09791893883605,9.8675438206593,8.82457731553861,9.61353545919017,0,0,3,3.5,10,9.73684210526316,9.5071375830667,10,5,0,2,3,3.71846153846154,10,9.24200640251068,8.19102112676056,0,0,1,2,2.86199600397355,2.44948974278318,NA,NA,NA,NA,NA,0,0.3
"149","Lithuania","LTU",2.23848987068701,2.51320422535211,NA,6.5,2.63636363636363,1.80453467482225,4.96952380952381,0.583333333333335,0,0,0.5,1.25909049468296,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47722557505166,2.61116483933547,1.65955803176258,3.3355230902685,0,0,0,0.5,3,2.27272727272727,1.0958651242924,1.28571428571429,1.16666666666667,0,0,0,10,3,8.65333333333333,2.51320422535211,0,0,1,1.5,1.58530887380097,1.24898551533821,NA,NA,NA,NA,NA,0,0.3
"150","Netherlands","NLD",2.63696330342228,6.12235915492958,NA,5.625,1.5,3.28915151937963,5.14285714285714,0.833333333333335,0,0,1,1.57300354270353,9.32717180204945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53553390593274,0,1.67076396037825,1.69030850945703,0,0,0,0,1.25,0,0.455943883829683,0.285714285714286,1.66666666666667,0,0,0,10,3,10,6.12235915492958,0,0,2,2,2.47434014535787,0.938370710968506,NA,NA,NA,NA,NA,0,0.2
"151","New Zealand","NZL",0.139059932968996,2.46919014084508,NA,4.83692307692307,NA,1.37950031285424,2.81071428571429,2.91666666666667,0,0,0,1.25354126095115,3.16227766016838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55151707591081,NA,0.845929779555159,1.69873902813654,0,0,0,0,3.2,1.84210526315789,0.2898104848634,0.571428571428571,5.83333333333333,0,0,0,6.47384615384615,NA,5.05000000000001,2.46919014084508,0,0,0,0,1.57136569290699,2.37132617694285,NA,NA,NA,NA,NA,0,0.4
"152","North Macedonia","MKD",NA,0,NA,6.4524295326423,4.30622009569378,1.35091065714989,1.64285714285714,2.33333333333333,0,0,0.5,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44667581187846,4.24996481831765,0,0,0,0,0,0.5,6.18,3.61244019138756,2.70182131429978,3.28571428571428,4.66666666666667,0,0,0,6.72485906528459,5,0,0,0,0,0,0,1,1.32657580051251,NA,NA,NA,NA,NA,0,0.3
"153","Philippines","PHL",1.39395200696291,0.444542253521123,NA,5.52439936645052,NA,2.87763662023829,7.71428571428572,5,1.89157708174108,1,2,1.13878508773235,6.55652250274567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0.5,5.38673291031604,NA,1.53650392800853,7.36788397613007,0,0,1,1.5,6.75,7.20095693779904,5.31073098695545,5.42857142857143,10,0,1,1.5,4.29879873290103,NA,10,0.444542253521123,0,3.78315416348216,1,1,1.29683147604158,1.21069808711052,NA,1.73205080756888,NA,NA,0.636943436819177,0,0.3
"154","Portugal","PRT",2.46158923225448,10,NA,6,1.5,6.43397735663303,5.14142857142858,2,0,0,1.5,1.77827941003892,5.89539804787555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47213595499958,0,5.35532885382967,3.23198302682955,0,0,0,0.5,2,0,2.86795471326606,1.14285714285714,4,0,0,0,10,3,9.14000000000001,10,0,0,2,2.5,3.16227766016838,0.916137292525543,NA,NA,NA,NA,NA,0,0.3
